hidden_layers,dropout_rate,learning_rate,batch_size,country_accuracy,country_f1_macro,country_f1_weighted,time_accuracy,time_f1_macro,time_f1_weighted,activity_accuracy,activity_f1_macro,activity_f1_weighted,avg_accuracy
"(256,)",0.2,0.001,32,0.7777777777777778,0.7668801272345405,0.7800567312728605,0.544973544973545,0.4063590253942584,0.5515412654642854,0.7195767195767195,0.6840081084932343,0.7192257380772147,0.6807760141093474
"(256,)",0.3,0.001,32,0.7724867724867724,0.7769884883686675,0.7745546816282166,0.5714285714285714,0.42141748003549245,0.5743228968606077,0.708994708994709,0.6815883190883192,0.7100167322389545,0.6843033509700175
"(256,)",0.4,0.001,32,0.7566137566137566,0.7542593399437907,0.7559083341257958,0.5714285714285714,0.41784977252474087,0.5721933240670636,0.708994708994709,0.6528063553397411,0.7100104176189912,0.6790123456790123
"(256,)",0.5,0.001,32,0.7619047619047619,0.776309265320663,0.7675573995206475,0.5343915343915344,0.39767976155979634,0.5395453565480196,0.6931216931216931,0.6533105783105784,0.6942759768156594,0.6631393298059964
"(512,)",0.2,0.001,32,0.746031746031746,0.7466033766852059,0.7501822527302195,0.5873015873015873,0.4333333333333333,0.5871840094062316,0.7142857142857143,0.6711976951352079,0.7149253610657137,0.6825396825396827
"(512,)",0.3,0.001,32,0.7724867724867724,0.7660663278883176,0.7739354778436295,0.5608465608465608,0.41534557547715445,0.5646928370988521,0.7301587301587301,0.6846974185357595,0.7299231763048944,0.6878306878306878
"(512,)",0.4,0.001,32,0.7354497354497355,0.7399324153083746,0.7358694489269476,0.5661375661375662,0.42621069182389937,0.5708641975308643,0.7037037037037037,0.6636847310462869,0.704255507429337,0.6684303350970019
"(512,)",0.5,0.001,32,0.7301587301587301,0.7370135418024617,0.7312886182972149,0.5661375661375662,0.4129200887378457,0.5640728353604781,0.6984126984126984,0.6512306311413454,0.6960896351485921,0.6649029982363316
"(256, 128)",0.2,0.001,32,0.7354497354497355,0.7327733340465163,0.7373871862993462,0.544973544973545,0.40358984502892065,0.547717499698292,0.6878306878306878,0.6419700738730589,0.6861386110971518,0.6560846560846562
"(256, 128)",0.3,0.001,32,0.7619047619047619,0.7628935746719516,0.7604572862354463,0.5185185185185185,0.3892182028772925,0.526391554645726,0.6931216931216931,0.6366790350836635,0.6900897942439383,0.6578483245149912
