student_id,n_places,n_activities,n_weather,n_moods,n_countries,activity_entropy,weather_entropy,mood_entropy,primary_activity,primary_weather,primary_mood,avg_desc_length,cluster,pca_1,pca_2,tsne_1,tsne_2,archetype
1161937,10,3,1,3,6,0.639031859650177,0.0,0.8018185525433373,Nature,Sunny,Relaxing,148.7,1,-1.1406045568414982,0.0216819516928001,5.0945044,1.0516312,🎯 Focused Traveler (Nature)
1181804,10,4,3,1,10,1.1682824501765625,0.8018185525433373,0.0,Nature,Sunny,Relaxing,58.3,0,-0.6252295780266164,0.6327503417196745,-3.7238886,3.088123,🥾 Nature Adventurer
1190855,10,3,3,1,10,0.8979457248567798,0.639031859650177,0.0,Nature,Sunny,Relaxing,86.5,0,-0.26209960404671007,-0.4080198031752978,-3.277881,2.0533772,🥾 Nature Adventurer
1200242,10,2,2,3,10,0.3250829733914482,0.3250829733914482,0.639031859650177,Nature,Sunny,Relaxing,206.2,3,1.1525186386790713,-0.5778638980804498,1.4657248,-3.2060413,🎯 Focused Traveler (Nature)
1200431,10,3,2,1,10,0.9433483923290391,0.5004024235381879,0.0,Leisure/Other,Sunny,Relaxing,56.7,0,-1.1354152832570172,-0.30410081610264844,-2.501964,3.171616,🥾 Nature Adventurer
0,0,0,0,0,0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,1,-3.5312245343874786,-5.625042597068502,5.726148,-2.4948246,🎯 Focused Traveler (Nature)
1201169,10,4,2,2,10,0.9404479886553264,0.5004024235381879,0.3250829733914482,Nature,Sunny,Relaxing,113.8,0,-0.6202962702877722,0.9404266268649886,-0.3239049,2.6416073,🥾 Nature Adventurer
1201208,10,2,2,3,10,0.3250829733914482,0.3250829733914482,0.639031859650177,Nature,Sunny,Relaxing,62.0,3,0.7947594081127576,-0.34792362934483506,1.8616211,-3.153186,🎯 Focused Traveler (Nature)
1201261,10,4,2,2,8,0.9404479886553264,0.3250829733914482,0.3250829733914482,Nature,Sunny,Relaxing,100.7,0,-1.2605966659266168,0.6046160830943631,0.29164264,3.274857,🥾 Nature Adventurer
1201862,10,4,2,2,9,1.2206072645530175,0.5004024235381879,0.3250829733914482,History,Sunny,Relaxing,83.6,0,-1.0997065382803275,1.2281443225906432,-0.0198804,3.1793582,🥾 Nature Adventurer
1202251,10,2,3,3,10,0.3250829733914482,1.0296530140645737,0.639031859650177,Nature,Sunny,Relaxing,285.8,3,2.952043249259471,-0.7012556077036763,-2.0486188,-3.4902358,🎯 Focused Traveler (Nature)
1202450,10,3,2,1,10,0.8018185525433373,0.5004024235381879,0.0,Nature,Sunny,Relaxing,135.5,0,-0.823368539427839,-0.6414985411620135,-2.239505,2.5190356,🥾 Nature Adventurer
1203048,9,2,3,4,9,0.6365141682948128,0.8486855577264172,1.2148896539491205,Nature,Sunny,Romantic,176.77777777777777,3,2.9033973175572254,0.7723482626279181,-0.57510126,-3.34658,🎯 Focused Traveler (Nature)
1210084,10,2,1,2,7,0.6730116670092565,0.0,0.3250829733914482,Nature,Sunny,Relaxing,220.9,1,-1.3303283695004013,-1.3629455614740673,5.156412,-0.64369184,🎯 Focused Traveler (Nature)
1210123,10,3,3,2,10,0.8018185525433373,0.9433483923290391,0.3250829733914482,Nature,Snowy,Relaxing,140.8,0,1.0867307562468573,0.10355136037384562,-2.6580036,-0.38960093,🥾 Nature Adventurer
1210221,10,1,2,3,10,0.0,0.6108643020548935,0.639031859650177,Nature,Sunny,Relaxing,215.4,3,2.179414359475566,-1.6765753815200286,1.0651217,-4.403784,🎯 Focused Traveler (Nature)
1210236,11,3,2,2,10,0.6001660731596457,0.30463609734923813,0.5859526183035508,Nature,Sunny,Relaxing,154.36363636363637,0,0.029149794981641195,0.050998290439968216,-0.3182031,0.6758683,🥾 Nature Adventurer
1210326,10,3,2,2,10,0.8018185525433373,0.3250829733914482,0.6931471805599453,Nature,Sunny,Relaxing,160.6,4,0.010413199896231141,0.455557090683609,-0.14155753,0.7729051,🥾 Nature Adventurer
1210574,10,4,2,3,10,1.2798542258336676,0.5004024235381879,0.9502705392332347,Nature,Sunny,Relaxing,272.7,4,0.4618404091504497,2.25773653346188,1.7320559,1.2579126,🥾 Nature Adventurer
1210582,10,3,3,2,9,0.639031859650177,0.8018185525433373,0.5004024235381879,Nature,Sunny,Relaxing,244.3,3,1.259698039406923,-0.2976497692955824,-2.4867334,-1.3484852,🎯 Focused Traveler (Nature)
1210618,10,3,2,1,10,0.639031859650177,0.5004024235381879,0.0,Nature,Sunny,Relaxing,176.0,0,-0.588839623035812,-0.9496258975082779,-2.2395701,2.1475465,🥾 Nature Adventurer
1210640,10,3,2,1,9,1.0296530140645737,0.3250829733914482,0.0,Nature,Sunny,Relaxing,118.5,0,-1.4871741796951903,-0.4506380552415777,-1.6507125,3.224514,🥾 Nature Adventurer
1210784,10,3,1,2,8,0.9433483923290391,0.0,0.3250829733914482,History,Sunny,Relaxing,183.2,1,-1.7848733207479406,-0.12514143178919096,4.842009,0.31069654,🎯 Focused Traveler (Nature)
1210904,10,3,2,4,9,0.8018185525433373,0.3250829733914482,1.0888999753452235,Nature,Sunny,Relaxing,219.7,4,1.1088700191308127,1.405844857614379,2.0479846,-0.5652054,🥾 Nature Adventurer
1210988,10,2,2,1,6,0.3250829733914482,0.3250829733914482,0.0,Nature,Sunny,Relaxing,83.3,1,-1.2034863093769248,-2.5810306445441684,4.7182884,-2.5072021,🎯 Focused Traveler (Nature)
1211061,10,2,2,1,6,0.6931471805599453,0.5004024235381879,0.0,History,Sunny,Relaxing,918.5,2,0.8257843034357147,-3.364645894646513,-3.6314743,-4.586467,🎯 Focused Traveler (History)
1211083,10,3,2,2,9,1.0296530140645737,0.3250829733914482,0.3250829733914482,Nature,Sunny,Relaxing,131.2,0,-0.7724165149367087,0.27538069764922435,-0.52195406,1.9812211,🥾 Nature Adventurer
1211088,10,1,4,2,9,0.0,0.9404479886553264,0.3250829733914482,Nature,Sunny,Relaxing,521.4,3,3.6937642789564524,-3.0563152633355806,-3.1865115,-4.239161,🎯 Focused Traveler (Nature)
1211099,10,3,3,3,8,0.639031859650177,0.639031859650177,0.8018185525433373,Nature,Sunny,Relaxing,177.7,3,1.3398916843812003,0.3525606170239796,-0.68180287,-1.832877,🎯 Focused Traveler (Nature)
1211115,9,2,1,1,9,0.34883209584303193,0.0,0.0,Nature,Sunny,Relaxing,199.11111111111111,1,-1.4531184895287566,-2.2003039890265166,4.8345165,-1.563082,🎯 Focused Traveler (Nature)
1211223,8,3,3,3,8,0.9743147528693494,0.7356219397587946,1.0397207708399179,Nature,Sunny,Relaxing,141.125,4,1.3416795094726386,1.1621428547378112,-0.055467483,-1.604664,🥾 Nature Adventurer
1211234,10,4,2,1,10,1.193549604098133,0.3250829733914482,0.0,Leisure/Other,Sunny,Relaxing,175.0,0,-1.6203601359974322,0.4777095829921175,-1.7144347,4.201805,🥾 Nature Adventurer
1211242,10,1,1,2,9,0.0,0.0,0.5004024235381879,Nature,Sunny,Relaxing,224.2,1,0.05780562865623285,-2.424603669033925,3.3594558,-3.496703,🎯 Focused Traveler (Nature)
1211246,10,3,2,3,10,1.0296530140645737,0.5004024235381879,0.8018185525433373,Nature,Sunny,Relaxing,94.0,4,0.39614348521484877,1.418086689068743,0.8218646,0.049867943,🥾 Nature Adventurer
1211458,10,2,2,2,10,0.3250829733914482,0.5004024235381879,0.3250829733914482,Nature,Sunny,Relaxing,230.1,3,0.799339330839688,-1.35297240932786,1.212371,-3.4606228,🎯 Focused Traveler (Nature)
1211642,10,3,3,2,10,0.9433483923290391,0.639031859650177,0.3250829733914482,Nature,Sunny,Relaxing,190.2,0,0.6410410683772622,0.24081827315491178,-2.202157,0.18221068,🥾 Nature Adventurer
